site,date,low_tide,high_tide,gear_type,row_width_m,num_per_row,spacing_m,dist_from_bags,lat1,long1,lat2,long2,soak_start,depth1_mm,temp1,salinity1,soak__end,depth2_mm,temp2,salinity2,reclaimed,present,absent,notes,consump,temp_avg,sal_avg
styron,20200701,1500,0818,fb,90,5,20,0,NA,NA,NA,NA,1059,NA,NA,NA,1300,890,NA,NA,5,5,0,checked 3 stakes at 1 hour mark found 0 consump ,0,NA,NA
styron,20200701,1500,0818,fb,90,5,20,2.5,NA,NA,NA,NA,1108,NA,NA,NA,1308,890,NA,NA,5,1,4,,0.8,NA,NA
styron,20200701,1500,0818,fb,90,5,20,5,NA,NA,NA,NA,1112,NA,NA,NA,1313,900,NA,NA,5,3,2,,0.4,NA,NA
styron,20200701,1500,0818,fb,90,5,20,10,NA,NA,NA,NA,1117,NA,NA,NA,1318,860,NA,NA,5,2,3,,0.6,NA,NA
styron,20200701,1500,0818,fb,90,5,20,20,NA,NA,NA,NA,1123,NA,NA,NA,1323,870,NA,NA,5,2,3,,0.6,NA,NA
styron,20200721,758,1236,fb,86.5,20,4,0,35.05194444,76.35972222,35.04,76.3525,1042,820,29.5,23,1252,800,NA,NA,20,13,7,,0.35,29.5,23
styron,20200721,758,1236,fb,86.5,20,4,2.5,35.05194444,76.34027778,35.04027778,76.35277778,1052,810,29.5,23,1300,800,NA,NA,20,8,12,,0.6,29.5,23
styron,20200721,758,1236,fb,86.5,20,4,5,35.05194444,76.36027778,35.04,76.35305556,1103,760,29.5,23,1308,750,NA,NA,20,12,8,,0.4,29.5,23
styron,20200721,758,1236,fb,86.5,20,4,10,35.05138889,76.36222222,35.04,76.35416667,1114,740,29.5,23,1317,730,NA,NA,20,10,10,primarily absent on north end of lease,0.5,29.5,23
styron,20200721,758,1236,fb,86.5,20,4,20,35.05027778,76.3625,35.03944444,76.35611111,1122,750,29.5,23,1325,740,NA,NA,20,10,10,,0.5,29.5,23
styron,20200721,758,1236,fb,86.5,20,4,40,35.04944444,76.36361111,35.03861111,76.35944444,1131,700,29.5,23,1334,690,NA,NA,20,12,8,one stake floated out of line found within 2m of line,0.4,29.5,23
mera,20200820,631,1205,fb,15.85,15,1,0,34.85028,76.49167,34.85278,76.49167,919,868,24.9,11,1117,1042,27.8,26,15,15,0,,0,26.35,18.5
