"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"1","styron",20200721,4,29.5,23,0,20,7,"1"
"2","styron",20200721,4,29.5,23,0,20,7,"1"
"3","styron",20200721,4,29.5,23,0,20,7,"1"
"4","styron",20200721,4,29.5,23,0,20,7,"1"
"5","styron",20200721,4,29.5,23,0,20,7,"1"
"6","styron",20200721,4,29.5,23,0,20,7,"1"
"7","styron",20200721,4,29.5,23,0,20,7,"1"
"8","styron",20200721,4,29.5,23,0,20,7,"0"
"9","styron",20200721,4,29.5,23,0,20,7,"0"
"10","styron",20200721,4,29.5,23,0,20,7,"0"
"11","styron",20200721,4,29.5,23,0,20,7,"0"
"12","styron",20200721,4,29.5,23,0,20,7,"0"
"13","styron",20200721,4,29.5,23,0,20,7,"0"
"14","styron",20200721,4,29.5,23,0,20,7,"0"
"15","styron",20200721,4,29.5,23,0,20,7,"0"
"16","styron",20200721,4,29.5,23,0,20,7,"0"
"17","styron",20200721,4,29.5,23,0,20,7,"0"
"18","styron",20200721,4,29.5,23,0,20,7,"0"
"19","styron",20200721,4,29.5,23,0,20,7,"0"
"20","styron",20200721,4,29.5,23,0,20,7,"0"
"21","styron",20200721,4,29.5,23,2.5,20,12,"1"
"22","styron",20200721,4,29.5,23,2.5,20,12,"1"
"23","styron",20200721,4,29.5,23,2.5,20,12,"1"
"24","styron",20200721,4,29.5,23,2.5,20,12,"1"
"25","styron",20200721,4,29.5,23,2.5,20,12,"1"
"26","styron",20200721,4,29.5,23,2.5,20,12,"1"
"27","styron",20200721,4,29.5,23,2.5,20,12,"1"
"28","styron",20200721,4,29.5,23,2.5,20,12,"1"
"29","styron",20200721,4,29.5,23,2.5,20,12,"1"
"30","styron",20200721,4,29.5,23,2.5,20,12,"1"
"31","styron",20200721,4,29.5,23,2.5,20,12,"1"
"32","styron",20200721,4,29.5,23,2.5,20,12,"0"
"33","styron",20200721,4,29.5,23,2.5,20,12,"0"
"34","styron",20200721,4,29.5,23,2.5,20,12,"0"
"35","styron",20200721,4,29.5,23,2.5,20,12,"0"
"36","styron",20200721,4,29.5,23,2.5,20,12,"0"
"37","styron",20200721,4,29.5,23,2.5,20,12,"0"
"38","styron",20200721,4,29.5,23,2.5,20,12,"0"
"39","styron",20200721,4,29.5,23,2.5,20,12,"0"
"40","styron",20200721,4,29.5,23,5,20,8,"1"
"41","styron",20200721,4,29.5,23,5,20,8,"1"
"42","styron",20200721,4,29.5,23,5,20,8,"1"
"43","styron",20200721,4,29.5,23,5,20,8,"1"
"44","styron",20200721,4,29.5,23,5,20,8,"1"
"45","styron",20200721,4,29.5,23,5,20,8,"1"
"46","styron",20200721,4,29.5,23,5,20,8,"1"
"47","styron",20200721,4,29.5,23,5,20,8,"0"
"48","styron",20200721,4,29.5,23,5,20,8,"0"
"49","styron",20200721,4,29.5,23,5,20,8,"0"
"50","styron",20200721,4,29.5,23,5,20,8,"0"
"51","styron",20200721,4,29.5,23,5,20,8,"0"
"52","styron",20200721,4,29.5,23,5,20,8,"0"
"53","styron",20200721,4,29.5,23,5,20,8,"0"
"54","styron",20200721,4,29.5,23,5,20,8,"0"
"55","styron",20200721,4,29.5,23,5,20,8,"0"
"56","styron",20200721,4,29.5,23,5,20,8,"0"
"57","styron",20200721,4,29.5,23,5,20,8,"0"
"58","styron",20200721,4,29.5,23,5,20,8,"0"
"59","styron",20200721,4,29.5,23,10,20,10,"1"
"60","styron",20200721,4,29.5,23,10,20,10,"1"
"61","styron",20200721,4,29.5,23,10,20,10,"1"
"62","styron",20200721,4,29.5,23,10,20,10,"1"
"63","styron",20200721,4,29.5,23,10,20,10,"1"
"64","styron",20200721,4,29.5,23,10,20,10,"1"
"65","styron",20200721,4,29.5,23,10,20,10,"1"
"66","styron",20200721,4,29.5,23,10,20,10,"1"
"67","styron",20200721,4,29.5,23,10,20,10,"1"
"68","styron",20200721,4,29.5,23,10,20,10,"0"
"69","styron",20200721,4,29.5,23,10,20,10,"0"
"70","styron",20200721,4,29.5,23,10,20,10,"0"
"71","styron",20200721,4,29.5,23,10,20,10,"0"
"72","styron",20200721,4,29.5,23,10,20,10,"0"
"73","styron",20200721,4,29.5,23,10,20,10,"0"
"74","styron",20200721,4,29.5,23,10,20,10,"0"
"75","styron",20200721,4,29.5,23,10,20,10,"0"
"76","styron",20200721,4,29.5,23,10,20,10,"0"
"77","styron",20200721,4,29.5,23,10,20,10,"0"
"78","styron",20200721,4,29.5,23,20,20,10,"1"
"79","styron",20200721,4,29.5,23,20,20,10,"1"
"80","styron",20200721,4,29.5,23,20,20,10,"1"
"81","styron",20200721,4,29.5,23,20,20,10,"1"
"82","styron",20200721,4,29.5,23,20,20,10,"1"
"83","styron",20200721,4,29.5,23,20,20,10,"1"
"84","styron",20200721,4,29.5,23,20,20,10,"1"
"85","styron",20200721,4,29.5,23,20,20,10,"1"
"86","styron",20200721,4,29.5,23,20,20,10,"1"
"87","styron",20200721,4,29.5,23,20,20,10,"0"
"88","styron",20200721,4,29.5,23,20,20,10,"0"
"89","styron",20200721,4,29.5,23,20,20,10,"0"
"90","styron",20200721,4,29.5,23,20,20,10,"0"
"91","styron",20200721,4,29.5,23,20,20,10,"0"
"92","styron",20200721,4,29.5,23,20,20,10,"0"
"93","styron",20200721,4,29.5,23,20,20,10,"0"
"94","styron",20200721,4,29.5,23,20,20,10,"0"
"95","styron",20200721,4,29.5,23,20,20,10,"0"
"96","styron",20200721,4,29.5,23,20,20,10,"0"
"97","styron",20200721,4,29.5,23,40,20,8,"1"
"98","styron",20200721,4,29.5,23,40,20,8,"1"
"99","styron",20200721,4,29.5,23,40,20,8,"1"
"100","styron",20200721,4,29.5,23,40,20,8,"1"
"101","styron",20200721,4,29.5,23,40,20,8,"1"
"102","styron",20200721,4,29.5,23,40,20,8,"1"
"103","styron",20200721,4,29.5,23,40,20,8,"1"
"104","styron",20200721,4,29.5,23,40,20,8,"0"
"105","styron",20200721,4,29.5,23,40,20,8,"0"
"106","styron",20200721,4,29.5,23,40,20,8,"0"
"107","styron",20200721,4,29.5,23,40,20,8,"0"
"108","styron",20200721,4,29.5,23,40,20,8,"0"
"109","styron",20200721,4,29.5,23,40,20,8,"0"
"110","styron",20200721,4,29.5,23,40,20,8,"0"
"111","styron",20200721,4,29.5,23,40,20,8,"0"
"112","styron",20200721,4,29.5,23,40,20,8,"0"
"113","styron",20200721,4,29.5,23,40,20,8,"0"
"114","styron",20200721,4,29.5,23,40,20,8,"0"
"115","styron",20200721,4,29.5,23,40,20,8,"0"
"116","mera",20200820,1,26.35,18.5,0,15,0,"0"
"117","mera",20200820,1,26.35,18.5,0,15,0,"0"
"118","mera",20200820,1,26.35,18.5,0,15,0,"0"
"119","mera",20200820,1,26.35,18.5,0,15,0,"0"
"120","mera",20200820,1,26.35,18.5,0,15,0,"0"
"121","mera",20200820,1,26.35,18.5,0,15,0,"0"
"122","mera",20200820,1,26.35,18.5,0,15,0,"0"
"123","mera",20200820,1,26.35,18.5,0,15,0,"0"
"124","mera",20200820,1,26.35,18.5,0,15,0,"0"
"125","mera",20200820,1,26.35,18.5,0,15,0,"0"
"126","mera",20200820,1,26.35,18.5,0,15,0,"0"
"127","mera",20200820,1,26.35,18.5,0,15,0,"0"
"128","mera",20200820,1,26.35,18.5,0,15,0,"0"
"129","mera",20200820,1,26.35,18.5,0,15,0,"0"
"130","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"131","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"132","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"133","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"134","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"135","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"136","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"137","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"138","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"139","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"140","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"141","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"142","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"143","mera",20200820,1,26.35,18.5,2.5,15,0,"0"
"144","mera",20200820,1,26.35,18.5,5,15,1,"0"
"145","mera",20200820,1,26.35,18.5,5,15,1,"0"
"146","mera",20200820,1,26.35,18.5,5,15,1,"0"
"147","mera",20200820,1,26.35,18.5,5,15,1,"0"
"148","mera",20200820,1,26.35,18.5,5,15,1,"0"
"149","mera",20200820,1,26.35,18.5,5,15,1,"0"
"150","mera",20200820,1,26.35,18.5,5,15,1,"0"
"151","mera",20200820,1,26.35,18.5,5,15,1,"0"
"152","mera",20200820,1,26.35,18.5,5,15,1,"0"
"153","mera",20200820,1,26.35,18.5,5,15,1,"0"
"154","mera",20200820,1,26.35,18.5,5,15,1,"0"
"155","mera",20200820,1,26.35,18.5,5,15,1,"0"
"156","mera",20200820,1,26.35,18.5,5,15,1,"0"
"157","mera",20200820,1,26.35,18.5,5,15,1,"0"
"158","mera",20200820,1,26.35,18.5,10,15,0,"0"
"159","mera",20200820,1,26.35,18.5,10,15,0,"0"
"160","mera",20200820,1,26.35,18.5,10,15,0,"0"
